,model,expl,class 0,class 1,class 2
0,GCN,subgraphX,0.9974596500396729,0.7599962600511241,-0.19798363767453095
1,GAT,subgraphX,-0.29650994864377106,0.7712086453619299,0.6574926249044282
2,GIN,subgraphX,0.9884238243103027,0.7706547467962273,-0.19994627082789385
3,GraphSAGE,subgraphX,0.6415602003864478,-0.19092018109996145,0.7742141222176575
4,Cheb,subgraphX,-100.0,-100.0,-100.0
